ROUND,DATE,HOME TEAM,VISITOR,WOMEN,MEN,VENUE
12,Sat 11 Jul,Mt Gambier Pioneers,Sandringham Sabres,6:30pm,8:30pm,ICE
12,Sat 11 Jul,Nunawading Spectres,Geelong Supercats,5:30pm,7:30pm,NUNA
12,Sun 12 Jul,Frankston Blues,Kilsyth Cobras ,12:30pm,2:30pm,FRNK
12,Sun 12 Jul,Melbourne Tigers,Launceston/NW Thunder ,12:30pm,2:30pm,MSAC
12,Sun 12 Jul,Waverley Falcons,Hobart Chargers ,12:00pm,2:00pm,WAV
14,Fri 24 Jul,Hobart Chargers,Ringwood Hawks,6:00pm,8:00pm,CREEK
14,Sat 25 Jul,Albury Wodonga Bandits,Knox Raiders,6:00pm,8:00pm,LJSC
14,Sat 25 Jul,Bendigo Braves,Kilsyth Cobras,5:30pm,7:30pm,BEND
14,Sat 25 Jul,Eltham Wildcats,Dandenong Rangers,6:00pm,8:00pm,ELTH
14,Sat 25 Jul,Launceston/NW Thunder,Ringwood Hawks,6:30pm,7:30pm,ELPH/OBC
14,Sat 25 Jul,Nunawading Spectres,Melbourne Tigers,5:30pm,7:30pm,NUNA
14,Sat 25 Jul,Sandringham Sabres,Mt Gambier Pioneers,5:00pm,7:00pm,SBA
14,Sun 26 Jul,Ballarat Rush/Miners,Eltham Wildcats ,12:00pm,2:00pm,BALL
14,Sun 26 Jul,Diamond Valley Eagles,Mt Gambier Pioneers ,12:00pm,2:00pm,DIAM
14,Sun 26 Jul,Geelong Supercats,Frankston Blues ,12:00pm,2:00pm,GEEL
14,Sun 26 Jul,Waverley Falcons,Nunawading Spectres ,12:00pm,2:00pm,WAV
15,Fri 31 Jul,Bendigo Braves,Knox Raiders,6:00pm,8:00pm,BEND
15,Fri 31 Jul,Geelong Supercats,Ballarat Rush/Miners,6:00pm,8:00pm,GEEL
15,Fri 31 Jul,Hobart Chargers,Waverley Falcons,6:00pm,8:00pm,CREEK
15,Sat 1 Aug,Albury Wodonga Bandits,Bendigo Braves,6:00pm,8:00pm,LJSC
15,Sat 1 Aug,Ballarat Rush/Miners,Dandenong Rangers,6:00pm,8:00pm,BALL
15,Sat 1 Aug,Diamond Valley Eagles,Melbourne Tigers,6:00pm,8:00pm,DIAM
15,Sat 1 Aug,Frankston Blues,Sandringham Sabres,5:30pm,7:30pm,FRNK
15,Sat 1 Aug,Kilsyth Cobras,Ringwood Hawks,5:30pm,7:30pm,KILS
15,Sat 1 Aug,Knox Raiders,Geelong Supercats,5:30pm,7:30pm,SBC
15,Sat 1 Aug,Launceston/NW Thunder,Waverley Falcons,6:00pm,8:00pm,OBC
15,Sat 1 Aug,Mt Gambier Pioneers,Eltham Wildcats,6:30pm,8:30pm,ICE
15,Sun 2 Aug,Melbourne Tigers,Frankston Blues ,12:30pm,2:30pm,MSAC
15,Sun 2 Aug,Nunawading Spectres,Kilsyth Cobras,1:30pm,3:30pm,NUNA
16,Sat 8 Aug,Bendigo Braves,Launceston/NW Thunder,5:30pm,7:30pm,BEND
16,Sat 8 Aug,Diamond Valley Eagles,Dandenong Rangers,6:00pm,8:00pm,DIAM
16,Sat 8 Aug,Geelong Supercats,Ringwood Hawks,5:00pm,7:00pm,GEEL
16,Sat 8 Aug,Kilsyth Cobras,Hobart Chargers,5:30pm,7:30pm,KILS
16,Sat 8 Aug,Mt Gambier Pioneers,Frankston Blues,6:30pm,8:30pm,ICE
16,Sat 8 Aug,Sandringham Sabres,Albury Wodonga Bandits,5:00pm,7:00pm,SBA
16,Sun 9 Aug,Ballarat Rush/Miners,Launceston/NW Thunder ,12:00pm,2:00pm,BALL
16,Sun 9 Aug,Dandenong Rangers,Albury Wodonga Bandits ,12:00pm,2:00pm,DAND
16,Sun 9 Aug,Eltham Wildcats,Sandringham Sabres,1:00pm,3:00pm,ELTH
16,Sun 9 Aug,Melbourne Tigers,Knox Raiders ,12:30pm,2:30pm,MSAC
16,Sun 9 Aug,Nunawading Spectres,Hobart Chargers,1:30pm,3:30pm,NUNA
16,Sun 9 Aug,Waverley Falcons,Diamond Valley Eagles ,12:00pm,2:00pm,WAV
91,Qualifying / Elimination 14-16 Aug,Qualifying,Qualifying / Elimination,TBC,TBC,TBC
92,Semi Finals,21-22 Aug,Semi Finals,TBC,TBC,TBC
93,Preliminary Finals,Sun 23 Aug,Preliminary Finals,TBC,TBC,TBC
94,Championship Games,Sat 29 Aug,Championship Games,5:00pm,8:00pm,SBC
